Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
651,"Benzeneselenol",,"C<sub>6</sub>H<sub>6</sub>Se","645-96-5",385715,"157.07",,,"183.6","84<sup>25</sup>","1.4865<sup>15</sup>",,,,"i H<sub>2</sub>O; s EtOH; vs eth, ctc",
652,"Benzenesulfinic acid",,"C<sub>6</sub>H<sub>6</sub>O<sub>2</sub>S","618-41-7",636331,"142.176","pr (w)",84,"dec",,,,,,"sl H<sub>2</sub>O; s EtOH, eth, bz; i peth",
653,"Benzenesulfinyl chloride",,"C<sub>6</sub>H<sub>5</sub>ClOS","4972-29-6",1099396,"160.621","pl (peth)",38,,"71<sup>1.5</sup>","1.3469<sup>25</sup>","1.3470<sup>25</sup>",,,"s eth, chl",
654,"Benzenesulfonamide",,"C<sub>6</sub>H<sub>7</sub>NO<sub>2</sub>S","98-10-2",1100566,"157.191","lf, nd (w)","156(1)",,,,,,,"sl H<sub>2</sub>O, tfa; s EtOH, eth",
655,"Benzenesulfonic acid","Besylic acid","C<sub>6</sub>H<sub>6</sub>O<sub>3</sub>S","98-11-3",742513,"158.175","nd (bz)",65,,,,,,,"vs H<sub>2</sub>O, EtOH; i eth; sl bz; s HOAc",
656,"Benzenesulfonyl chloride","Phenylsulfonyl chloride","C<sub>6</sub>H<sub>5</sub>ClO<sub>2</sub>S","98-09-9",606926,"176.621","liq","14.5","252(7)",,"1.3470<sup>15</sup>",,,"0.008","i H<sub>2</sub>O; vs EtOH; s eth, ctc",
657,"Benzenesulfonyl fluoride","Phenylsulfonyl fluoride","C<sub>6</sub>H<sub>5</sub>FO<sub>2</sub>S","368-43-4",2206835,"160.166",,,"203.5",,"1.3286<sup>20</sup>","1.4932<sup>18</sup>",,,"s EtOH, eth",
658,"1,2,4,5-Benzenetetracarboxylic acid","Pyromellitic acid","C<sub>10</sub>H<sub>6</sub>O<sub>8</sub>","89-05-4",1887659,"254.150","tcl pr (w+2)","271(2)",,,,,"10.7<sup>25</sup>",,"sl H<sub>2</sub>O; s EtOH",
659,"Benzenethiol","Phenyl mercaptan","C<sub>6</sub>H<sub>6</sub>S","108-98-5",506523,"110.177","liq","-14.87(5)","169.1(2)",,"1.0775<sup>20</sup>","1.5893<sup>20</sup>",,"0.26","i H<sub>2</sub>O; s EtOH, eth, bz; sl ctc",
660,"1,3,5-Benzenetricarbonyl trichloride",,"C<sub>9</sub>H<sub>3</sub>Cl<sub>3</sub>O<sub>3</sub>","4422-95-1",2940936,"265.477",,"36.3",,"180<sup>16</sup>",,,,,"s chl",
661,"1,2,3-Benzenetricarboxylic acid","Hemimellitic acid","C<sub>9</sub>H<sub>6</sub>O<sub>6</sub>","569-51-7",2214816,"210.140","pr (al)","209(2)",,,"1.546<sup>20</sup>",,"50.2<sup>25</sup>",,"vs eth, EtOH",
662,"1,2,4-Benzenetricarboxylic acid","Trimellitic acid","C<sub>9</sub>H<sub>6</sub>O<sub>6</sub>","528-44-9",2214815,"210.140","nd (w) cry (al) cry (HOAc)",219,,,,,"19.6<sup>25</sup>",,"vs H<sub>2</sub>O, eth, EtOH",
663,"1,3,5-Benzenetricarboxylic acid",,"C<sub>9</sub>H<sub>6</sub>O<sub>6</sub>","554-95-0",2053080,"210.140","pr or nd (w+1)",380,,,,,"2.07<sup>25</sup>",,"sl H<sub>2</sub>O; vs EtOH, eth",
664,"1,2,4-Benzenetricarboxylic acid 1,2-anhydride, 4-chloride","4-(Chloroformyl)phthalic anhydride","C<sub>9</sub>H<sub>3</sub>ClO<sub>4</sub>","1204-28-0",610823,"210.571",,66,,,,,,,,
665,"1,2,4-Benzenetricarboxylic acid, triallyl ester",,"C<sub>18</sub>H<sub>18</sub>O<sub>6</sub>","2694-54-4",,"330.332",,"<-30",,,"1.164<sup>20</sup>",,,,,
666,"1,2,3-Benzenetriol","Pyrogallol","C<sub>6</sub>H<sub>6</sub>O<sub>3</sub>","87-66-1",907431,"126.110","lf or nd (bz)","125.5(5)","307(4)",,"1.453<sup>4</sup>","1.561<sup>134</sup>","626<sup>25</sup>",,"vs H<sub>2</sub>O, EtOH, eth, NH<sub>3</sub>; s ace; i bz",
667,"1,2,4-Benzenetriol","Hydroxyhydroquinone","C<sub>6</sub>H<sub>6</sub>O<sub>3</sub>","533-73-3",2042863,"126.110","pl (eth), lf or pl (w)","140.5",,,,,,,"vs H<sub>2</sub>O, EtOH, eth; i bz, chl",
668,"1,3,5-Benzenetriol","Phloroglucinol","C<sub>6</sub>H<sub>6</sub>O<sub>3</sub>","108-73-6",1341907,"126.110","lf or pl (w +2)","216(1)","subl",,"1.46<sup>25</sup>",,"11.3<sup>20</sup>",,"sl H<sub>2</sub>O; vs EtOH, eth, bz, py; s ace",
669,"1,2,4-Benzenetriol triacetate",,"C<sub>12</sub>H<sub>12</sub>O<sub>6</sub>","613-03-6",2138876,"252.219",,99,300,,,,,,"s EtOH, chl, MeOH",
670,"Benzestrol",,"C<sub>20</sub>H<sub>26</sub>O<sub>2</sub>","85-95-0",2139461,"298.419","cry (al)",164,,,,,,,"vs ace, eth, EtOH, HOAc",
