Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
671,"Benzethonium chloride",,"C<sub>27</sub>H<sub>42</sub>ClNO<sub>2</sub>","121-54-0",,"448.081","pl (chl/eth)","165 (hyd)",,,,,,,"vs H<sub>2</sub>O; s ace, chl, EtOH",
672,"Benzidene-3,3'-dicarboxylic acid","3,3'-Dicarboxybenzidine","C<sub>14</sub>H<sub>12</sub>N<sub>2</sub>O<sub>4</sub>","2130-56-5",,"272.256","nd","300 dec",,,,,,,,
673,"<i>p</i>-Benzidine","[1,1'-Biphenyl]-4,4'-diamine","C<sub>12</sub>H<sub>12</sub>N<sub>2</sub>","92-87-5",742770,"184.236","nd (w)","127.0(5)",401,,,,"0.360<sup>24</sup>",,"sl H<sub>2</sub>O, eth, DMSO; s EtOH",
674,"Benzil","Diphenylethanedione","C<sub>14</sub>H<sub>10</sub>O<sub>2</sub>","134-81-6",608047,"210.228","ye pr (al)","94.84(3)","332(13)",,"1.084<sup>102</sup>",,,,"i H<sub>2</sub>O; vs EtOH, eth; s ace; sl ctc",
675,"1<i>H</i>-Benzimidazol-2-amine",,"C<sub>7</sub>H<sub>7</sub>N<sub>3</sub>","934-32-7",116525,"133.151","pl (w)","231.9(3)",,,,,,,"s H<sub>2</sub>O, EtOH, ace; sl eth, bz, DMSO",
676,"1<i>H</i>-Benzimidazole","<i>N</i>,<i>N'</i>-Methenyl-<i>o</i>-phenylenediamine","C<sub>7</sub>H<sub>6</sub>N<sub>2</sub>","51-17-2",109682,"118.136","orth bipym pl (w)","172.2(9)",">360",,,,"2.01<sup>20</sup>",,"sl H<sub>2</sub>O, eth; vs EtOH; i bz; s dil alk",
677,"1<i>H</i>-Benzimidazole-2-acetonitrile",,"C<sub>9</sub>H<sub>7</sub>N<sub>3</sub>","4414-88-4",128461,"157.172",,"208.4",,,,,,,,
678,"1<i>H</i>-Benz[<i>de</i>]isoquinoline-1,3(2<i>H</i>)-dione",,"C<sub>12</sub>H<sub>7</sub>NO<sub>2</sub>","81-83-4",153150,"197.190","nd (chl-al)",300,,,,,,,,
679,"Benzo[<i>c</i>]chrysene",,"C<sub>22</sub>H<sub>14</sub>","194-69-4",,"278.346","nd (AcOH)","125.4(5)",,,,,,,,
680,"Benzo[<i>g</i>]chrysene","Benzo[<i>a</i>]triphenylene","C<sub>22</sub>H<sub>14</sub>","196-78-1",,"278.346","nd (AcOH)","114.5",,,,,,,,
681,"1<i>H</i>,3<i>H</i>-Benzo[1,2-<i>c</i>:4,5-<i>c</i>']difuran-1,3,5,7-tetrone",,"C<sub>10</sub>H<sub>2</sub>O<sub>6</sub>","89-32-7",213583,"218.119",,"286(2)",,,,,,,,
682,"1,3,2-Benzodioxaborole",,"C<sub>6</sub>H<sub>5</sub>BO<sub>2</sub>","274-07-7",972072,"119.914",,12,,"88<sup>156</sup>, 50<sup>50</sup>","1.2700<sup>20</sup>","1.5070<sup>20</sup>",,,,
683,"1,3-Benzodioxol-5-amine",,"C<sub>7</sub>H<sub>7</sub>NO<sub>2</sub>","14268-66-7",4919,"137.137",,42,,"144<sup>16</sup>",,,,,,
684,"1,3-Benzodioxole",,"C<sub>7</sub>H<sub>6</sub>O<sub>2</sub>","274-09-9",115506,"122.122",,,"169(1)","77<sup>27</sup>","1.271<sup>25</sup>","1.5398<sup>20</sup>",,,,
685,"1,3-Benzodioxole-5-carboxaldehyde","Piperonal","C<sub>8</sub>H<sub>6</sub>O<sub>3</sub>","120-57-0",131691,"150.132",,"37(1)",263,,,,"3.5<sup>20</sup>",,"sl H<sub>2</sub>O; vs EtOH; msc eth; s ace, chl",
686,"1,3-Benzodioxole-5-carboxylic acid","Piperonylic acid","C<sub>8</sub>H<sub>6</sub>O<sub>4</sub>","94-53-1",150206,"166.132",,229,,,,,,,,
687,"1,3-Benzodioxole-5-ethanamine",,"C<sub>9</sub>H<sub>11</sub>NO<sub>2</sub>","1484-85-1",383838,"165.189",,,,"166<sup>20</sup>, 101<sup>1</sup>","1.225<sup>20</sup>","1.5620<sup>20</sup>",,,,
688,"1,3-Benzodioxole-5-methanamine",,"C<sub>8</sub>H<sub>9</sub>NO<sub>2</sub>","2620-50-0",136996,"151.163",,,,"139<sup>13</sup>, 100<sup>0.07</sup>","1.214<sup>25</sup>","1.5635<sup>20</sup>",,,,
689,"1,3-Benzodioxole-5-methanol",,"C<sub>8</sub>H<sub>8</sub>O<sub>3</sub>","495-76-1",136113,"152.148","nd (peth)",58,,"157<sup>16</sup>",,,,,"sl H<sub>2</sub>O; s EtOH, eth, bz, chl; i lig",
690,"1,3-Benzodioxol-5-ol",,"C<sub>7</sub>H<sub>6</sub>O<sub>3</sub>","533-31-3",127405,"138.121",,"64.9",,,,,,,,
691,"<i>trans</i>,<i>trans</i>-5-(1,3-Benzodioxol-5-yl)-2,4-pentadienoic acid","Piperinic acid","C<sub>12</sub>H<sub>10</sub>O<sub>4</sub>","136-72-1",85624,"218.205","nd (al), ye nd (sub)","215.8","subl",,,,,,"vs EtOH",
692,"7,8-Benzoflavone","2-Phenyl-4<i>H</i>-naphtho[1,2-<i>b</i>]pyran-4-one","C<sub>19</sub>H<sub>12</sub>O<sub>2</sub>","604-59-1",210862,"272.297","ye pl (al)",157,,,,,,,"sl EtOH, chl; s sulf",
693,"Benzo[<i>b</i>]fluoranthene","Benz[<i>e</i>]acephenanthrylene","C<sub>20</sub>H<sub>12</sub>","205-99-2",1872553,"252.309","nd (bz)","168.4(7)",,,,,"0.000002<sup>20</sup>",,"i H<sub>2</sub>O; msc bz",
694,"Benzo[<i>j</i>]fluoranthene","Dibenzo[<i>a,jk</i>]fluorene","C<sub>20</sub>H<sub>12</sub>","205-82-3",2049099,"252.309","ye pl (al) nd (HOAc)","165.2(7)",,,,,,,"i H<sub>2</sub>O; sl EtOH, HOAc",
695,"Benzo[<i>k</i>]fluoranthene","2,3,1',8'-Binaphthylene","C<sub>20</sub>H<sub>12</sub>","207-08-9",1873745,"252.309","pa ye nd (bz)","217(1)",480,,,,,,"i H<sub>2</sub>O; s EtOH, bz, HOAc",
696,"11<i>H</i>-Benzo[<i>a</i>]fluorene",,"C<sub>17</sub>H<sub>12</sub>","238-84-6",2046363,"216.277","pl (ace or HOAc)","189.6(5)",405,,,,"0.000045<sup>25</sup>",,"i H<sub>2</sub>O; sl EtOH; s eth, bz, chl",
697,"11<i>H</i>-Benzo[<i>b</i>]fluorene",,"C<sub>17</sub>H<sub>12</sub>","243-17-4",2046365,"216.277",,"215(5)",401,,,,"0.000002<sup>25</sup>",,"i H<sub>2</sub>O",
698,"Benzofuran","Coumarone","C<sub>8</sub>H<sub>6</sub>O","271-89-6",107704,"118.133",,"<-18","172(6)",,"1.0913<sup>25</sup>","1.5615<sup>17</sup>",,,"i H<sub>2</sub>O; s EtOH, eth",
699,"2-Benzofurancarboxylic acid","Coumarilic acid","C<sub>9</sub>H<sub>6</sub>O<sub>3</sub>","496-41-3",124204,"162.142","nd (w)","192.5","312.5",,,,,,"vs EtOH",
700,"2(3<i>H</i>)-Benzofuranone",,"C<sub>8</sub>H<sub>6</sub>O<sub>2</sub>","553-86-6",114689,"134.133",,50,249,,"1.2236<sup>14</sup>",,,,,
