Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
183,"4-Allyl-1,2-dimethoxybenzene","Methyleugenol","C<sub>11</sub>H<sub>14</sub>O<sub>2</sub>","93-15-2",1910871,"178.228","liq","-2.0","254.7",,"1.0396<sup>20</sup>","1.5340<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH, eth",
184,"Allyldimethylamine","<i>N,N</i>-Dimethyl-2-propen-1-amine","C<sub>5</sub>H<sub>11</sub>N","2155-94-4",1734044,"85.148",,,"62(4)",,"0.7094<sup>25</sup>","1.4010<sup>20</sup>",,,,
185,"Allyl ethyl ether",,"C<sub>5</sub>H<sub>10</sub>O","557-31-3",1361480,"86.132",,,"65(4)",,"0.7651<sup>20</sup>","1.3881<sup>20</sup>",,"20.4","i H<sub>2</sub>O; msc EtOH, eth; s ace",
186,"Allyl formate",,"C<sub>4</sub>H<sub>6</sub>O<sub>2</sub>","1838-59-1",1735668,"86.090",,,"83.6",,"0.9460<sup>20</sup>",,,,"sl H<sub>2</sub>O; s EtOH; msc eth",
187,"Allyl 2-furancarboxylate","Allyl 2-furanoate","C<sub>8</sub>H<sub>8</sub>O<sub>3</sub>","4208-49-5",118399,"152.148",,,"207.5",,"1.115<sup>25</sup>","1.4945<sup>20</sup>",,,"s eth, ace; sl ctc",
188,"Allyl glycidyl ether",,"C<sub>6</sub>H<sub>10</sub>O<sub>2</sub>","106-92-3",105871,"114.142",,,154,,"0.9698<sup>20</sup>","1.4332<sup>20</sup>",,,,
189,"Allyl hexanoate",,"C<sub>9</sub>H<sub>16</sub>O<sub>2</sub>","123-68-2",1761920,"156.222",,,186,,"0.8869<sup>20</sup>",,,,,
190,"Allyl (hydroxymethyl)carbamate",,"C<sub>5</sub>H<sub>9</sub>NO<sub>3</sub>","24935-97-5",,"131.130","cry (tol)",57,,,,,,,,
191,"Allyl isocyanate",,"C<sub>4</sub>H<sub>5</sub>NO","1476-23-9",506106,"83.089",,,88,,,,,,,
192,"Allyl isothiocyanate",,"C<sub>4</sub>H<sub>5</sub>NS","57-06-7",773748,"99.155","liq","-80","160(6)",,"1.0126<sup>20</sup>","1.5306<sup>20</sup>",,"0.677","vs bz, eth, EtOH",
193,"Allyl methacrylate",,"C<sub>7</sub>H<sub>10</sub>O<sub>2</sub>","96-05-9",1747406,"126.153",,,,"67<sup>50</sup>, 55<sup>30</sup>","0.9335<sup>20</sup>","1.4360<sup>20</sup>",,,,
194,"4-Allyl-2-methoxyphenol","Eugenol","C<sub>10</sub>H<sub>12</sub>O<sub>2</sub>","97-53-0",1366759,"164.201","liq","-7.5","254(7)",,"1.0652<sup>20</sup>","1.5405<sup>20</sup>",,,"i H<sub>2</sub>O; msc EtOH, eth; s chl, HOAc, oils",
195,"4-Allyl-2-methoxyphenyl acetate","1,3,4-Eugenol acetate","C<sub>12</sub>H<sub>14</sub>O<sub>3</sub>","93-28-7",1964745,"206.237","pr (al)","30.5",281,"127<sup>6</sup>","1.0806<sup>20</sup>","1.5205<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH; sl ctc",
196,"Allyl 3-methylbutanoate",,"C<sub>8</sub>H<sub>14</sub>O<sub>2</sub>","2835-39-4",1750520,"142.196",,,154,,,,,,,
197,"Allylmethyldichlorosilane",,"C<sub>4</sub>H<sub>8</sub>Cl<sub>2</sub>Si","1873-92-3",1740877,"155.099",,,"119.5",,"1.0758<sup>20</sup>","1.4419<sup>20</sup>",,,,
198,"2-(Allyloxy)ethanol","Ethylene glycol monoallyl ether","C<sub>5</sub>H<sub>10</sub>O<sub>2</sub>","111-45-5",1742145,"102.132",,,"158.5",,"0.9580<sup>20</sup>","1.4358<sup>20</sup>",,,"msc H<sub>2</sub>O; vs EtOH; s bz, ctc, MeOH",
199,"2-Allylphenol",,"C<sub>9</sub>H<sub>10</sub>O","1745-81-9",742121,"134.174","liq","-6",220,,"1.0246<sup>15</sup>","1.5181<sup>20</sup>",,,"vs eth",
200,"4-Allylphenol","Chavicol","C<sub>9</sub>H<sub>10</sub>O","501-92-8",2039682,"134.174",,"15.8",238,,"1.0203<sup>15</sup>","1.5441<sup>18</sup>",,,"vs eth, EtOH, chl",
