Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
151,"Alizurol purple","1-Hydroxy-4-[(4-methylphenyl)amino]-9,10-anthracenedione","C<sub>21</sub>H<sub>15</sub>NO<sub>3</sub>","81-48-1",,"329.349","flat viol nd",,,,,,,,"s H<sub>2</sub>SO<sub>4</sub>",
152,"Alkannin",,"C<sub>16</sub>H<sub>16</sub>O<sub>5</sub>","23444-65-7",3213295,"288.295","br-red pr (bz)",149,"140 subl",,,,,,"vs EtOH",
153,"Allantoic acid","Bis[(aminocarbonyl)amino]acetic acid","C<sub>4</sub>H<sub>8</sub>N<sub>4</sub>O<sub>4</sub>","99-16-1",,"176.132","nd","170 dec",,,,,,,"sl H<sub>2</sub>O, os, dil acid",
154,"Allantoin",,"C<sub>4</sub>H<sub>6</sub>N<sub>4</sub>O<sub>3</sub>","97-59-6",102364,"158.116","mcl pl or",239,,,,,,,"sl H<sub>2</sub>O; s EtOH, NaOH; i eth, MeOH",
155,"Allene",,"C<sub>3</sub>H<sub>4</sub>","463-49-0",1730774,"40.064","col gas","-136.4(5)","-34.8(3)",,"0.584<sup>25</sup> (p>1 atm)","1.4168",,,"vs bz, peth",
156,"Allethrin",,"C<sub>19</sub>H<sub>26</sub>O<sub>3</sub>","584-79-2",,"302.407",,,,,"1.010<sup>20</sup>",,,,,
157,"Allicin",,"C<sub>6</sub>H<sub>10</sub>OS<sub>2</sub>","539-86-6",1752823,"162.272",,,"dec",,"1.112<sup>20</sup>","1.561<sup>20</sup>",,,"vs H<sub>2</sub>O",
158,"Allopregnane-3β,21-diol-11,20-dione",,"C<sub>21</sub>H<sub>32</sub>O<sub>4</sub>","566-02-9",3218580,"348.477","cry (aq, ac, +w) nd (bz, ac)",190,,,,,,,,
159,"Allopregnan-20β-ol-3-one","5α-Pregnan-20β-ol-3-one","C<sub>21</sub>H<sub>34</sub>O<sub>2</sub>","516-58-5",2621511,"318.494",,"195(3)",,,,,,,,
160,"Allopurinol","1,5-Dihydro-4<i>H</i>-pyrazolo[3,4-<i>d</i>]pyrimidin-4-one","C<sub>5</sub>H<sub>4</sub>N<sub>4</sub>O","315-30-0",133199,"136.112","cry",350,,,,,"0.57<sup>25</sup>",,,
161,"<small>D</small>-Allose",,"C<sub>6</sub>H<sub>12</sub>O<sub>6</sub>","2595-97-3",1724623,"180.155","cry (w)",128,,,,,,,"vs H<sub>2</sub>O",
162,"Alloxanic acid",,"C<sub>4</sub>H<sub>4</sub>N<sub>2</sub>O<sub>5</sub>","470-44-0",155465,"160.085","tcl pr (eth)","162 dec",,,,,,,"vs H<sub>2</sub>O, EtOH",
163,"Alloxantin",,"C<sub>8</sub>H<sub>6</sub>N<sub>4</sub>O<sub>8</sub>","76-24-4",51182,"286.156","orth pr (w+2)","254 dec",,,,,,,"sl H<sub>2</sub>O, EtOH, eth",
164,"Allyl acetate","3-Acetoxypropene","C<sub>5</sub>H<sub>8</sub>O<sub>2</sub>","591-87-7",1742050,"100.117",,,"104(2)",,"0.9275<sup>20</sup>","1.4049<sup>20</sup>",,,"sl H<sub>2</sub>O; s ace; msc EtOH, eth",
165,"Allyl acetoacetate",,"C<sub>7</sub>H<sub>10</sub>O<sub>3</sub>","1118-84-9",1758569,"142.152","liq","-85","198(19)","66.5<sup>14</sup>","1.0366<sup>20</sup>","1.4398<sup>20</sup>",,,"s H<sub>2</sub>O, lig; msc EtOH, bz",
166,"Allyl acrylate",,"C<sub>6</sub>H<sub>8</sub>O<sub>2</sub>","999-55-3",1743576,"112.127",,,121,,"0.9441<sup>20</sup>","1.4320<sup>20</sup>",,,"sl H<sub>2</sub>O; s EtOH, eth, acid",
167,"Allyl alcohol","2-Propen-1-ol","C<sub>3</sub>H<sub>6</sub>O","107-18-6",605307,"58.079","liq","-129","96.9(5)",,"0.8540<sup>20</sup>","1.4135<sup>20</sup>",,"3.14","msc H<sub>2</sub>O, EtOH, eth; s chl",
168,"Allylamine","2-Propen-1-amine","C<sub>3</sub>H<sub>7</sub>N","107-11-9",635703,"57.095","liq","-88.2","54(2)",,"0.758<sup>20</sup>","1.4205<sup>20</sup>",,"33.1","msc H<sub>2</sub>O, EtOH, eth; s chl",
169,"<i>N</i>-Allylaniline","Allylphenylamine","C<sub>9</sub>H<sub>11</sub>N","589-09-3",1099329,"133.190",,,219,"106<sup>12</sup>","0.9736<sup>25</sup>","1.563<sup>20</sup>",,,"sl H<sub>2</sub>O; s EtOH, ace; msc eth",
170,"Allylbenzene","2-Propenylbenzene","C<sub>9</sub>H<sub>10</sub>","300-57-2",1098501,"118.175","liq","-40(4)","158(2)",,"0.8920<sup>20</sup>","1.5131<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH, eth, bz, ctc",
171,"α-Allylbenzenemethanol",,"C<sub>10</sub>H<sub>12</sub>O","936-58-3",,"148.201",,,"228.5",,"1.004<sup>18</sup>","1.5289<sup>21</sup>",,,,
172,"Allyl benzoate",,"C<sub>10</sub>H<sub>10</sub>O<sub>2</sub>","583-04-0",2043396,"162.185",,,,,"1.0569<sup>15</sup>","1.5178<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH, eth, ace, MeOH",
173,"Allyl butanoate",,"C<sub>7</sub>H<sub>12</sub>O<sub>2</sub>","2051-78-7",1751642,"128.169",,,142,"44.5<sup>15</sup>","0.9017<sup>20</sup>","1.4158<sup>20</sup>",,,"i H<sub>2</sub>O; msc EtOH, eth; sl ctc",
174,"Allyl carbamate",,"C<sub>4</sub>H<sub>7</sub>NO<sub>2</sub>","2114-11-6",1745069,"101.105",,,,,,,,,"sl ctc",
175,"Allylchlorodimethylsilane",,"C<sub>5</sub>H<sub>11</sub>ClSi","4028-23-3",1737978,"134.680",,,111,,"0.8964<sup>20</sup>","1.4195<sup>20</sup>",,,,
176,"Allyl chloroformate",,"C<sub>4</sub>H<sub>5</sub>ClO<sub>2</sub>","2937-50-0",,"120.535","hyg liq",,"109.5",,"1.136","1.4220<sup>20</sup>",,,,
177,"Allyl <i>trans</i>-cinnamate","Allyl <i>trans</i>-3-phenyl-2-propenoate","C<sub>12</sub>H<sub>12</sub>O<sub>2</sub>","1866-31-5",,"188.222",,,"268 dec","163<sup>17</sup>","1.048<sup>23</sup>","1.530<sup>20</sup>",,,"i H<sub>2</sub>O; vs EtOH; msc eth; sl ctc",
178,"1-Allylcyclohexanol",,"C<sub>9</sub>H<sub>16</sub>O","1123-34-8",1561190,"140.222",,,190,,"0.9341<sup>22</sup>","1.4756<sup>22</sup>",,,,
179,"1-Allylcyclohexene","1-(2-Propenyl)cyclohexene","C<sub>9</sub>H<sub>14</sub>","13511-13-2",,"122.207","liq",,"159(9)",,,,,,,
180,"Allylcyclopentane",,"C<sub>8</sub>H<sub>14</sub>","3524-75-2",2036419,"110.197","liq","-110.6(1)","127(4)",,"0.793<sup>25</sup>","1.4412<sup>20</sup>",,,"s chl",
181,"Allyldiethoxymethylsilane",,"C<sub>8</sub>H<sub>18</sub>O<sub>2</sub>Si","18388-45-9",1760495,"174.314",,,155,,"0.8572<sup>25</sup>","1.4104<sup>20</sup>",,,,
182,"Allyldiethylamine","<i>N,N</i>-Diethyl-2-propen-1-amine","C<sub>7</sub>H<sub>15</sub>N","5666-17-1",1739256,"113.201",,,110,,"0.7477<sup>25</sup>","1.4209<sup>20</sup>",,,,
